P_NAME,P_HABITABLE,P_ESI,P_MASS_y,P_RADIUS_y,P_TEMP_EQUIL_y,P_PERIOD_y,P_TEXTURE
Kepler-784 b,0,0.198337578,3.12,1.58,940.69217,31.592265,Super-Earth
Kepler-416 c,0,-0.089403342,6.57,2.45,810.18993,12.209,Super-Earth
Kepler-1162 b,0,0.617595068,5.52,2.21,485.53765,32.563707,Super-Earth
Kepler-864 c,0,0.136065818,3.26,1.62,1469.1564,2.4215034,Super-Earth
Kepler-164 b,0,0.22719478,2.57,1.41,1128.8486,5.03503,Terrestrial
Kepler-149 c,0,1.130444438,3.22,1.61,448.74182,55.328328,Super-Earth
Kepler-1733 b,0,-0.516890157,12.8,3.636,1068.2155,9.2295799,Neptunian
Kepler-1668 b,0,-0.550105796,17.4,4.348,700.46891,15.434,Neptunian
Kepler-1778 b,0,-0.304411569,9.36,3.017,871.70746,10.0874,Unknown
Kepler-1284 b,0,0.258909087,1.92,1.21,1696.9994,0.66407381,Terrestrial
Kepler-1049 b,0,0.457864192,0.809,0.95,707.43574,3.2734607,Terrestrial
Kepler-1051 b,0,-0.383969734,11.5,3.4,792.05246,25.962002,Neptunian
Kepler-1076 b,0,0.389284648,0.437,0.8,747.87515,6.1472792,Terrestrial
Kepler-1079 b,0,0.191766717,3.29,1.63,896.88837,13.245032,Super-Earth
Kepler-1057 b,0,-0.350048673,11.2,3.36,752.53825,14.088274,Neptunian
Kepler-1065 b,0,-0.545416474,13.4,3.73,1117.105,3.6093089,Neptunian
Kepler-1068 b,0,-0.376627973,12.8,3.63,694.03263,16.923441,Neptunian
Kepler-1069 b,0,0.261173707,3.19,1.6,768.77589,23.89903,Super-Earth
GJ 367 d,2,3.545482626,6.03,2.33,262.54969,34.369,Super-Earth
Kepler-1102 b,0,0.248595731,7.56,2.66,528.06679,51.328562,Unknown
Kepler-1040 b,0,3.03006082,4.98,2.08,306.67678,201.1214,Super-Earth
Kepler-1058 b,0,1.772235145,7.85,2.72,350.13443,110.96546,Unknown
Kepler-1766 b,0,0.948820555,5.81,2.279,433.24231,105.015,Super-Earth
Kepler-394 b,0,0.198600189,3.19,1.6,911.61332,8.005013,Super-Earth
Kepler-1074 b,0,0.643378458,2.1,1.25,577.12158,5.9456653,Terrestrial
Kepler-1078 b,0,0.024678856,4.27,1.9,1724.582,3.0072524,Super-Earth
Kepler-1093 c,0,0.527295183,4.5,1.96,528.87325,89.722292,Super-Earth
Kepler-1101 b,0,1.860730931,6.66,2.47,352.67362,81.315106,Super-Earth
Kepler-111 b,0,0.155479596,3.12,1.58,1328.8342,3.341815,Super-Earth
Kepler-111 c,0,0.895032186,42,7.3,326.7062,224.78461,Neptunian
Kepler-1106 b,0,0.119518078,3.36,1.65,1805.7215,1.2527522,Super-Earth
Kepler-1103 b,0,-0.055285692,5.77,2.27,896.39275,19.79192,Super-Earth
Kepler-1105 b,0,0.176389579,4.7,2.01,681.30136,4.4215722,Super-Earth
Kepler-1107 b,0,0.22493218,2.36,1.34,1785.1078,0.57103852,Terrestrial
Kepler-1108 b,0,0.233723776,2.73,1.46,971.38023,4.5100575,Terrestrial
Kepler-1115 b,0,0.12342586,3.53,1.7,1135.0174,23.554073,Super-Earth
Kepler-1119 b,0,0.034451456,4.35,1.92,1182.5559,8.3265153,Super-Earth
Kepler-1139 b,0,0.263464269,1.81,1.19,1664.7834,0.81316672,Terrestrial
Kepler-1141 b,0,0.260401409,0.477,0.82,1499.4782,2.3445119,Terrestrial
Kepler-1142 b,0,0.250225223,2.76,1.47,893.94686,18.302725,Terrestrial
Kepler-114 c,0,0.34692509,2.8,1.6,674.52057,8.041,Super-Earth
Kepler-1122 b,0,0.427737356,4.82,2.04,547.73969,42.191736,Super-Earth
Kepler-1143 b,0,0.168998574,3.43,1.67,923.98039,2.8889048,Super-Earth
Kepler-1186 b,0,0.036432027,5.6,2.23,738.45689,16.076776,Super-Earth
Kepler-156 b,0,-0.051366803,5.9,2.3,850.94762,4.973456,Super-Earth
Kepler-1560 b,0,0.28746391,0.64,0.89,1253.7313,3.0319574,Terrestrial
Kepler-1562 b,0,-0.201465201,12.3,3.55,587.57994,64.273775,Neptunian
Kepler-157 c,0,-0.010829443,5.65,2.24,809.38167,13.5405,Super-Earth
Kepler-1182 b,0,-0.119050085,6.39,2.41,942.46495,11.173946,Super-Earth
Kepler-1184 b,0,0.383157452,7.65,2.68,494.2413,53.599104,Unknown
Kepler-1209 b,0,0.32180681,2.89,1.51,731.49853,25.369116,Super-Earth
Kepler-1198 b,0,0.277273121,2.76,1.47,823.84246,7.6847716,Terrestrial
Kepler-1572 b,0,0.292980367,0.779,0.94,1274.2819,5.4954862,Terrestrial
Kepler-1573 b,0,0.26526363,1.87,1.2,1471.6313,2.6157554,Terrestrial
Kepler-1230 b,0,-0.209927776,7.8,2.71,887.09452,9.9566154,Unknown
Kepler-1212 b,0,0.001098026,5.22,2.14,874.45221,12.941301,Super-Earth
Kepler-1254 b,0,0.422557531,3.02,1.55,635.00509,9.9911331,Super-Earth
Kepler-1259 b,0,0.197399683,2.63,1.43,1771.0881,0.66308526,Terrestrial
Kepler-1489 b,0,0.900538002,3.78,1.77,470.68983,82.294751,Super-Earth
Kepler-1214 b,0,0.262363805,6.17,2.36,559.42868,18.826343,Super-Earth
Kepler-150 d,0,-0.150854958,8.2,2.79,720.0009,12.56093,Unknown
Kepler-1500 b,0,0.343453051,1.87,1.2,848.86861,15.03301,Terrestrial
Kepler-148 c,0,-0.48118892,12.6,3.6,913.82852,4.180043,Neptunian
Kepler-1736 b,0,-0.431059936,14.3,3.877,686.39807,37.810299,Neptunian
Kepler-154 e,0,0.191336644,2.86,1.5,1197.5696,3.9327647,Terrestrial
Kepler-1484 b,0,0.000561697,5.1,2.11,914.76767,30.454914,Super-Earth
Kepler-1519 b,0,0.599560366,39.6,7.06,351.25872,240.79894,Neptunian
Kepler-1532 b,0,0.223893776,2.39,1.35,1636.5003,1.0936636,Terrestrial
GJ 143 b,0,1.200531373,22.7,2.61,391.33331,35.61253,Neptunian
HD 23472 b,0,0.537690017,8.32,2,521.32162,17.667087,Super-Earth
AU Mic b,0,-0.266391574,20.12,3.957,566.07247,8.4629991,Neptunian
AU Mic c,0,0.55902052,9.6,3.24,434.21592,18.858991,Unknown
GJ 806 b,0,0.305050209,1.9,1.331,862.69454,0.9263237,Terrestrial
Kepler-157 d,0,0.225390214,2.73,1.46,1016.0662,7.0257347,Terrestrial
Kepler-476 b,0,-0.295959712,9.69,3.08,801.8267,14.006406,Unknown
Kepler-478 b,0,-0.034768343,7.8,2.71,640.48632,13.221758,Unknown
Kepler-1496 b,0,0.394080304,5.56,2.22,535.52476,64.658802,Super-Earth
Kepler-1497 b,0,0.195052264,3.39,1.66,854.55237,8.7419977,Super-Earth
Kepler-1569 b,0,0.125073993,3.46,1.68,1207.983,5.7918016,Super-Earth
Kepler-1571 b,0,0.175215559,2.92,1.52,1370.4331,3.3855549,Super-Earth
Kepler-1440 b,0,0.473642664,2.13,1.26,663.6735,39.859484,Terrestrial
Kepler-132 b,0,0.283473484,1.92,1.21,1111.2514,6.178196,Terrestrial
Kepler-1468 c,0,0.271750605,1.6,1.15,1601.9788,3.5455302,Terrestrial
Kepler-1337 b,0,0.852123018,6.39,2.41,437.7919,24.400255,Super-Earth
Kepler-1502 b,0,-0.316743167,10.2,3.18,783.78838,41.708363,Neptunian
Kepler-1302 b,0,0.389380418,2.63,1.43,690.50391,8.8392266,Terrestrial
Kepler-1511 b,0,0.151348972,3.46,1.68,985.61828,23.238279,Super-Earth
HD 160691 e,0,0.660063445,2224.7989,12.636979,309.24717,307.9,Gas Giant
Kepler-1847 b,0,-0.21203107,7.97,2.745,857.53443,11.1297,Unknown
Kepler-1584 b,0,0.211119599,3.22,1.61,861.74404,13.39971,Super-Earth
Kepler-1294 b,0,0.307045693,10.3,3.19,474.28705,115.68623,Neptunian
Kepler-1297 b,0,0.281849041,0.871,0.97,1801.7996,1.68189,Terrestrial
Kepler-1298 b,0,0.239434336,2.27,1.31,1442.7556,7.1281193,Terrestrial
Kepler-1316 b,0,0.19777119,12.3,3.54,474.36465,87.973214,Neptunian
Kepler-1335 b,0,0.330860318,2.7,1.45,746.29778,6.2640685,Terrestrial
Kepler-1576 b,0,0.34356055,1.12,1.04,911.76181,6.9847197,Terrestrial
Kepler-1490 b,0,1.667347663,9.48,3.04,347.17906,92.436297,Unknown
Kepler-1512 b,0,4.308946931,1.76,1.18,289.89879,20.359726,Terrestrial
Kepler-1338 b,0,0.275648057,0.721,0.92,2113.8349,0.93511806,Terrestrial
Kepler-1323 b,0,0.164376982,2.92,1.52,2184.4043,0.92990668,Super-Earth
Kepler-1498 b,0,1.152813577,2.33,1.33,460.48043,48.051405,Terrestrial
Kepler-1499 b,0,1.602849187,1.81,1.19,416.18224,44.2008,Terrestrial
Kepler-133 c,0,-0.162518185,8.45,2.84,714.14208,31.517586,Unknown
Kepler-1336 c,0,0.108754532,3.57,1.71,1292.2157,5.7772121,Super-Earth
TOI-1820 b,0,-1.43942732,731.00534,12.778,1221.475,4.860674,Gas Giant
Kepler-1355 b,0,0.194446341,2.73,1.46,1408.399,1.2895881,Terrestrial
Kepler-1370 b,0,0.124218741,4.04,1.84,857.58882,20.264168,Super-Earth
Kepler-1360 b,0,-0.392363414,11.5,3.4,809.49024,40.528641,Neptunian
Kepler-1367 b,0,0.32223129,0.721,0.92,984.90356,1.5740903,Terrestrial
Kepler-1381 b,0,0.269578183,5.69,2.25,572.8987,25.384269,Super-Earth
Kepler-1383 b,0,0.239731667,2.57,1.41,1028.8281,13.909358,Terrestrial
Kepler-1371 c,0,0.160023593,0.196,0.64,1373.1704,2.0054127,Terrestrial
Kepler-1373 b,0,0.264131321,1.65,1.16,2556.7721,1.2912328,Terrestrial
Kepler-1397 b,0,0.26995171,3.61,1.72,701.77204,47.449955,Super-Earth
Kepler-1386 b,0,0.295906756,2.07,1.24,981.96329,6.7397238,Terrestrial
Kepler-1406 b,0,0.349648599,1.37,1.1,876.37733,11.629058,Terrestrial
Kepler-1554 b,0,3.094345774,8.75,2.9,255.68039,198.08877,Unknown
Kepler-1536 b,0,1.186007934,10,3.14,172.07251,364.75803,Unknown
Kepler-1420 b,0,0.319938708,2.18,1.28,860.47538,6.6996001,Terrestrial
Kepler-1544 b,2,4.159940454,3.82,1.78,244.09563,168.81117,Super-Earth
Kepler-1577 b,0,0.456052792,1.51,1.13,700.75632,6.3056025,Terrestrial
Kepler-1410 b,2,4.216724185,3.82,1.78,259.37405,60.866168,Super-Earth
Kepler-1426 b,0,0.285842185,3.05,1.56,754.43938,14.256323,Super-Earth
Kepler-1432 b,0,0.00097973,5.56,2.22,801.00787,23.910901,Super-Earth
Kepler-1436 b,0,0.243006806,2.27,1.31,1341.3622,9.705716,Terrestrial
Kepler-142 b,0,-0.006792181,4.62,1.99,1514.519,2.024152,Super-Earth
Kepler-150 b,0,0.274834903,2.1,1.25,1106.9382,3.428054,Terrestrial
Kepler-1579 b,0,0.276022671,0.52,0.84,1253.2442,0.84990789,Terrestrial
Kepler-1507 b,0,0.597737237,0.52,0.84,601.78607,16.050621,Terrestrial
Kepler-1428 b,0,0.132615605,3.33,1.64,1347.8816,10.676072,Super-Earth
Kepler-1453 b,0,0.586604669,7.61,2.67,459.14416,47.16117,Unknown
Kepler-1001 b,0,-0.185651233,10.1,3.15,645.6583,14.30512,Neptunian
Kepler-1438 b,0,0.285366286,0.779,0.94,1469.9808,2.3194201,Terrestrial
Kepler-1465 b,0,1.576090697,3.78,1.77,397.4759,31.827711,Super-Earth
Kepler-1469 b,0,0.075546427,8.25,2.8,568.24121,21.86353,Unknown
Kepler-1528 b,0,0.193853777,2.73,1.46,1427.0982,1.7911102,Terrestrial
Kepler-1550 b,0,2.308058489,9.38,3.02,311.27255,225.58281,Unknown
Kepler-153 c,0,1.11310972,6.94,2.53,404.78605,46.90232,Unknown
Kepler-1551 b,0,-0.085003971,7.56,2.66,696.41457,24.49737,Unknown
Kepler-1479 b,0,0.14952592,4.01,1.83,808.5385,14.532614,Super-Earth
Kepler-1483 b,0,0.202087296,2.92,1.52,1032.5639,9.5085156,Super-Earth
Kepler-1526 b,0,-0.090791428,6.48,2.43,829.3953,3.908632,Super-Earth
Kepler-1442 b,0,-0.289910344,14.7,3.93,583.05938,81.416294,Neptunian
Kepler-153 b,0,0.088697005,8.85,2.92,548.66196,18.870227,Unknown
Kepler-1494 b,0,0.718154715,9.64,3.07,422.47312,91.080482,Unknown
Kepler-1566 b,0,0.244798866,0.418,0.79,1800.7649,0.53991524,Terrestrial
Kepler-186 b,0,0.579667116,1.24,1.07,619.73018,3.8867907,Terrestrial
Kepler-188 c,0,-0.387845592,10.3,3.19,1011.1783,5.996553,Neptunian
KMT-2021-BLG-1770L b,0,-4.31E-16,6674.3966,12.1,0,0,Gas Giant
TOI-2145 b,0,-1.413367393,1671.7774,11.982,1354.8516,10.26075,Gas Giant
Kepler-603 c,0,-0.254566866,34.5,6.5,451.41011,127.90758,Neptunian
GJ 463 b,0,-1.443293306,1144.1823,13,56.395184,3448,Gas Giant
TOI-206 b,0,0.32442383,2.24,1.3,836.54768,0.7363104,Terrestrial
HD 100546 b,0,-1.811273355,2701.5415,77.342,82.977773,0,Gas Giant
HD 3167 b,0,0.11421258,4.97,1.67,1627.221,0.959641,Super-Earth
GJ 3090 b,0,0.141725348,3.34,2.13,656.98295,2.8531054,Super-Earth
Kepler-187 c,0,-0.232414434,7.61,2.67,1075.3061,10.640263,Unknown
Kepler-188 b,0,0.114133043,3.46,1.68,1452.1943,2.061897,Super-Earth
Kepler-190 b,0,0.174819585,3.05,1.56,1141.009,2.019999,Super-Earth
Kepler-653 b,0,0.112894089,4.46,1.95,788.5017,14.70749,Super-Earth
Kepler-67 b,0,-0.042556954,8.96,2.94,599.54428,15.7259,Unknown
Kepler-728 b,0,-0.447024589,11.1,3.34,1161.2071,5.7434773,Neptunian
Kepler-201 b,0,-0.053933569,6.62,2.46,744.01328,25.672083,Super-Earth
Kepler-1534 b,0,0.087542403,4.23,1.89,910.19888,5.7166887,Super-Earth
Kepler-1540 b,2,3.325556176,6.76,2.49,239.10794,125.41312,Super-Earth
Kepler-1542 b,0,0.248482329,0.363,0.76,1211.8028,3.9511688,Terrestrial
Kepler-1542 e,0,0.25696875,0.363,0.76,1113.8025,5.1011576,Terrestrial
Kepler-1543 b,0,-0.252863042,7.8,2.71,1145.0914,6.9671027,Unknown
Kepler-1553 b,0,0.319680603,1.6,1.15,956.15251,4.2426188,Terrestrial
Kepler-1585 b,0,0.118695216,3.86,1.79,940.6319,3.5827463,Super-Earth
Kepler-1586 b,0,0.274296167,2.92,1.52,795.48658,15.604921,Super-Earth
Kepler-732 b,0,0.943961363,5.39,2.18,439.14777,9.467814,Super-Earth
Kepler-203 b,0,-0.214602962,7.13,2.57,1296.7775,3.162697,Unknown
Kepler-207 c,0,0.175424964,2.86,1.5,1651.4802,3.071571,Terrestrial
Kepler-1570 b,0,0.408011956,1.24,1.07,765.42437,26.548955,Terrestrial
Kepler-1575 b,0,0.244720727,2.27,1.31,1303.4944,2.5531421,Terrestrial
Kepler-1522 b,0,0.092250134,3.64,1.73,1582.7177,1.8478892,Super-Earth
Kepler-1525 b,0,0.286570831,0.693,0.91,1334.1309,2.4166012,Terrestrial
Kepler-1546 b,0,-0.170900447,9.96,3.13,639.54979,19.597497,Unknown
Kepler-1547 b,0,0.27228841,0.666,0.9,2253.5009,0.69297968,Terrestrial
Kepler-1555 b,0,0.158314177,3.22,1.61,1123.1862,8.1050163,Super-Earth
Kepler-221 c,0,-0.262357264,15.1,2.93,831.13908,5.690586,Neptunian
Kepler-605 b,0,0.22316047,2.67,1.44,1077.6434,3.3835381,Terrestrial
Kepler-160 c,0,-0.446930449,13.6,3.76,739.53985,13.699429,Neptunian
Kepler-1601 b,0,0.261441211,0.477,0.82,1459.4193,2.2092195,Terrestrial
Kepler-1603 b,0,0.236875804,2.21,1.29,2041.4848,2.2716393,Terrestrial
Kepler-249 d,0,2.53649404,3.09,1.57,345.91058,15.368459,Super-Earth
Kepler-1443 b,0,0.281548138,0.871,0.97,1834.1118,2.4181132,Terrestrial
Kepler-1447 b,0,0.450241956,8.75,2.9,466.92443,56.674729,Unknown
Kepler-127 c,0,-0.106555685,7.56,2.66,719.96316,29.393195,Unknown
Kepler-1606 b,2,3.442171585,4.94,2.07,288.10339,196.43522,Super-Earth
Kepler-1429 b,0,0.25817213,2.21,1.29,1176.0299,4.4848749,Terrestrial
Kepler-606 b,0,-0.308139849,11,3.31,715.11395,24.31576,Neptunian
Kepler-1593 b,0,2.804159568,10.2,3.17,236.86636,174.50984,Neptunian
Kepler-733 b,0,0.098171109,8.35,2.82,557.22313,20.834247,Unknown
Kepler-1641 b,0,-0.249577573,9.85,3.11,715.72854,19.672266,Unknown
Kepler-57 c,0,0.364781767,9.1,1.55,675.24922,11.609257,Super-Earth
Kepler-212 b,0,0.352791928,1.32,1.09,870.81097,16.257582,Terrestrial
Kepler-221 e,0,0.158433948,7.41,2.63,559.92265,18.369917,Unknown
Kepler-1641 c,0,-0.055460222,9.01,2.95,604.49078,32.657212,Unknown
Kepler-189 c,0,0.342686035,22.7,2.38,531.78909,20.134866,Neptunian
Kepler-160 b,0,0.122699078,3.59,1.715,1087.6383,4.309397,Super-Earth
Kepler-26 b,0,0.456930879,5.12,2.78,473.25069,12.28,Unknown
Kepler-572 b,0,0.138031554,7.18,2.58,574.72698,17.205235,Unknown
Kepler-223 d,0,-0.814546672,8,5.24,909.99925,14.78869,Unknown
Kepler-646 b,0,0.228367712,4.62,1.99,647.42534,15.873646,Super-Earth
Kepler-208 b,0,0.137989067,3.29,1.63,1309.6427,4.22864,Super-Earth
Kepler-161 b,0,0.018565175,12.1,2.12,847.52561,4.921355,Neptunian
Kepler-1587 b,0,0.262719234,2.33,1.33,1037.176,9.4060467,Terrestrial
Kepler-1588 b,0,0.254656672,0.363,0.76,1136.6622,7.8493174,Terrestrial
Kepler-1589 b,0,0.27517107,1.32,1.09,2150.1699,0.99166527,Terrestrial
Kepler-1613 b,0,-0.048103548,4.98,2.08,2263.5899,1.5184299,Super-Earth
Kepler-767 b,0,-0.181010456,35.7,6.64,437.15227,161.52801,Neptunian
Kepler-229 b,0,0.039069242,5.48,2.2,750.59189,6.252972,Super-Earth
Kepler-573 b,0,-0.103410414,8.2,2.79,671.95518,22.183297,Unknown
Kepler-208 d,0,0.312126019,1.87,1.2,948.268,11.131786,Terrestrial
Kepler-161 c,0,0.094270629,11.8,2.05,755.25786,7.06424,Neptunian
Kepler-216 b,0,-0.131845854,6.12,2.35,1221.1982,7.693641,Super-Earth
Kepler-1611 b,0,0.296366655,0.457,0.81,986.05446,5.1762429,Terrestrial
Kepler-1618 b,0,0.25296714,2.13,1.26,1426.2556,6.1082602,Terrestrial
Kepler-1614 b,0,0.217198328,2.83,1.49,1004.244,3.9466141,Terrestrial
Kepler-1612 b,0,0.3166986,1.08,1.03,1041.3008,3.917951,Terrestrial
Kepler-1631 b,0,0.245361914,2.39,1.35,1131.4601,4.0951393,Terrestrial
Kepler-1615 b,0,0.276085508,4.9,2.06,603.5362,47.312619,Super-Earth
Kepler-1632 b,0,1.297292756,6.66,2.47,391.34711,448.30356,Super-Earth
Kepler-1639 b,0,-0.170952565,7.18,2.58,907.07198,9.878482,Unknown
Kepler-208 e,0,0.267606544,2.79,1.48,837.65029,16.259458,Terrestrial
Kepler-209 c,0,0.24446736,9.8,3.1,492.08907,41.749882,Unknown
Kepler-1517 b,0,-1.305056441,68.7,9.76,1512.8728,5.5460837,Gas Giant
Kepler-221 b,0,0.129474529,3.57,1.71,1049.5396,2.795906,Super-Earth
Kepler-656 c,0,0.276734229,2.57,1.41,874.08056,5.2544939,Terrestrial
Kepler-184 d,0,0.309727802,6.76,2.49,528.96044,29.022358,Super-Earth
CoRoT-7 c,0,-0.276040752,8.4,2.83,1005.7054,3.698,Unknown
Kepler-1711 b,0,0.224974433,4.36,1.923,669.84998,21.060801,Super-Earth
Kepler-1630 b,0,1.435375061,5.43,2.19,165.82194,509.9974,Super-Earth
Kepler-769 b,0,-0.30596533,8.85,2.92,1012.4181,7.42609,Unknown
Kepler-241 c,0,1.007274167,7.13,2.57,413.16051,36.065978,Unknown
Kepler-1649 b,0,3.995185332,1.03,1.017,301.20914,8.689099,Terrestrial
Kepler-1653 b,2,3.739814197,5.35,2.17,257.49793,140.2524,Super-Earth
TOI-2236 b,0,-1.502998705,502.16888,14.37,1546.9426,3.5315902,Gas Giant
TOI-2207 b,0,-1.366551072,203.41018,11.153,1149.5882,8.001968,Gas Giant
TOI-3629 b,0,-1.005706953,82.63539,8.295,642.75813,3.936551,Gas Giant
TOI-733 b,0,0.032339696,5.72,1.992,975.09741,4.884765,Super-Earth
TOI-1194 b,0,-1.220706899,144.92975,8.597,1272.5425,2.310644,Gas Giant
Kepler-191 d,0,-0.031044102,5.82,2.28,820.1368,5.945041,Super-Earth
Kepler-650 b,0,-0.348757679,9.06,2.96,1462.038,3.0321456,Unknown
Kepler-1731 b,0,0.353704113,8.92,2.933,481.81536,21.761299,Unknown
Kepler-195 c,0,1.037670527,3.02,1.55,464.64,34.096863,Super-Earth
Kepler-758 e,0,0.176970181,2.96,1.53,1257.2304,8.1934719,Super-Earth
Kepler-60 d,0,0.030311977,4.16,1.99,990.2833,11.8981,Super-Earth
Kepler-242 c,0,0.462825679,4.66,2,542.17122,14.496481,Super-Earth
Kepler-1742 b,0,0.85546247,5.38,2.178,450.50695,49.478199,Super-Earth
KOI-984 c,0,-1.172512707,209.8,14.1,546.76947,21.512,Gas Giant
Kepler-1322 b,0,0.134608138,3.22,1.61,1776.7412,0.96286738,Super-Earth
OGLE-2019-BLG-0362L b,0,-4.31E-16,1036.1206,13.1,0,0,Gas Giant
Kepler-1793 b,0,-0.486212312,13.8,3.79,793.61952,8.7799997,Neptunian
Kepler-1880 b,0,0.10718081,5.13,2.117,706.973,6.3092198,Super-Earth
HD 216520 c,2,2.924709323,9.44,3.03,270.01655,154.43,Unknown
Kepler-1825 b,0,0.208220551,2.61,1.422,1371.4466,1.02587,Terrestrial
Kepler-1798 b,0,0.828021937,5.94,2.309,446.41222,16.8559,Super-Earth
Kepler-1951 b,0,-0.074627934,6,2.321,897.27126,20.657801,Super-Earth
Kepler-172 c,0,-0.277317921,8.55,2.86,959.05884,6.388996,Unknown
TOI-2583 A b,0,-1.500784463,79.4571,14.46,1332.8512,4.5207265,Gas Giant
Kepler-704 b,0,-0.223006739,7.32,2.61,1199.6396,3.7618211,Unknown
Kepler-706 b,0,-0.891964106,114.26485,13.17,483.25,41.408313,Gas Giant
Kepler-707 b,0,0.259574585,2.33,1.33,1059.0294,2.2374927,Terrestrial
Kepler-724 b,0,-0.425164437,10.8,3.29,1076.7274,3.3149463,Neptunian
Kepler-1678 b,0,2.032517201,10.9,3.304,318.69837,147.974,Neptunian
Kepler-567 b,0,0.266223896,5.69,2.25,574.21399,16.542974,Super-Earth
Kepler-327 c,0,0.701934287,20.3,1.03,568.91945,5.212333,Neptunian
Kepler-322 b,0,0.293551259,1.01,1.01,1313.463,1.653888,Terrestrial
Kepler-313 b,0,-0.139497606,6.94,2.53,862.27283,14.970418,Unknown
TOI-836 c,0,0.148101174,9.6,2.587,569.05425,8.59545,Unknown
Kepler-301 d,0,0.23478618,3.71,1.75,726.92683,13.751243,Super-Earth
Kepler-296 f,2,3.117858563,3.89,1.8,203.01764,63.33627,Super-Earth
Kepler-338 e,0,0.170571365,8.5,1.56,1191.3218,9.341,Super-Earth
Kepler-411 c,0,-0.537754314,26.4,4.421,670.98051,7.834435,Neptunian
Kepler-301 b,0,0.234420343,2.39,1.35,1282.1784,2.508553,Terrestrial
Kepler-275 b,0,-0.112748203,6.08,2.34,1053.7478,10.300682,Super-Earth
Kepler-285 b,0,0.247141313,2.36,1.34,1143.4007,2.633867,Terrestrial
Kepler-287 b,0,0.138967741,6.04,2.33,619.32086,20.342199,Super-Earth
Kepler-288 b,0,0.14723062,3.43,1.67,1031.9129,6.097326,Super-Earth
Kepler-150 e,0,0.068876301,9.91,3.12,534.09536,30.826557,Unknown
K2-138 e,0,-0.370818924,12.97,3.39,771.94284,8.26146,Neptunian
TRAPPIST-1 c,0,3.677537077,1.308,1.097,310.82791,2.421937,Terrestrial
K2-138 b,0,0.189673443,3.1,1.51,1173.5667,2.35309,Super-Earth
Kepler-323 c,0,0.160428655,6.8,1.57,1297.6914,3.5538229,Super-Earth
Kepler-205 b,0,0.264530402,2.89,1.51,821.3433,2.75564,Super-Earth
K2-263 b,0,0.886999218,14.9,2.41,431.78286,50.818947,Neptunian
HD 104067 b,0,0.223339039,50.8528,8.18,371.84593,55.806,Gas Giant
GJ 328 b,0,-1.432299508,797.7493,13.3,67.260568,3771,Gas Giant
HD 23472 e,0,0.459150837,0.72,0.818,681.49406,7.90754,Terrestrial
HD 207496 b,0,0.011518104,6.1,2.25,755.18778,6.441008,Super-Earth
GJ 649 b,0,-1.084774694,81.99973,10.8,110.30875,600.1,Gas Giant
Kepler-1720 b,0,-0.211526742,10.4,3.216,650.06615,12.7064,Neptunian
Kepler-276 d,0,0.463506945,16.3,2.8,470.85079,48.648,Neptunian
Kepler-244 d,0,0.210513132,15.2,2.31,587.53764,20.050401,Neptunian
Kepler-245 b,0,-0.105214048,7.13,2.57,761.1505,7.49019,Unknown
Kepler-212 c,0,-0.114164795,7.95,2.74,698.01465,31.805174,Unknown
Kepler-214 c,0,0.04948932,5.18,2.13,776.15569,28.7798,Super-Earth
Kepler-215 b,0,0.224204233,3.26,1.62,821.69391,9.360672,Super-Earth
Kepler-217 c,0,0.053701189,4.08,1.85,1317.9675,8.586004,Super-Earth
Kepler-229 d,0,0.69274128,14.2,3.85,398.46334,41.194912,Neptunian
Kepler-23 d,0,-0.032763383,17.6,2.2,909.31604,15.274299,Neptunian
Kepler-1456 b,0,1.405601868,1.55,1.14,436.44196,18.137383,Terrestrial
Kepler-31 b,0,-0.795990476,25.9,5.5,757.33795,20.8613,Neptunian
Kepler-90 i,0,0.313694072,2.3,1.32,848.71037,14.44912,Terrestrial
TOI-238 c,0,0.068877466,6.7,2.18,703.82123,8.465651,Super-Earth
Kepler-326 d,0,0.321308851,6.9,1.21,905.89475,6.766888,Terrestrial
Kepler-238 c,0,-0.147723824,6.3,2.39,1242.1532,6.155557,Super-Earth
Kepler-245 c,0,0.289937391,225.6,2.18,575.95542,17.460812,Gas Giant
Kepler-206 c,0,0.176154154,3.78,1.77,802.4874,13.137471,Super-Earth
Kepler-208 c,0,0.238566967,2.51,1.39,1082.7699,7.466623,Terrestrial
Kepler-216 c,0,-0.327730332,9.48,3.04,930.74402,17.406669,Unknown
Kepler-224 c,0,-0.300464407,9.91,3.12,786.8387,5.925003,Unknown
Kepler-224 d,0,0.124099125,5.9,2.3,635.19154,11.349393,Super-Earth
Kepler-243 c,0,0.456332024,4.62,1.99,545.38795,20.026218,Super-Earth
Kepler-232 b,0,-0.369207142,9.69,3.08,1129.5432,4.431222,Unknown
Kepler-245 d,0,0.505338407,21.6,3.03,451.25708,36.277108,Neptunian
Kepler-230 c,0,2.461338197,4.82,2.04,334.35507,91.773242,Super-Earth
Kepler-24 b,0,-0.113541706,508.5,2.4,934.44709,8.1453,Gas Giant
Kepler-127 b,0,0.260556599,2.54,1.4,897.44373,14.435889,Terrestrial
Kepler-24 d,0,0.127760763,3.43,1.67,1224.0936,4.244384,Super-Earth
Kepler-246 b,0,-0.076650215,6.08,2.34,880.74064,4.60182,Super-Earth
Kepler-246 c,0,0.414963412,2.86,1.5,651.61025,11.187161,Terrestrial
